['2', '1']
4 390.81483488942564 a
1 320.08264117331237 o
3 230.51816537340102 c
6 143.30709489058705 r
9 93.16830404831474 e
7 69.75899080064414 f
2 28.206819389530608 s
27 17.972780341402412 function
28 13.232337870192652 prep
32 7.812992161313856 swear
17 1.3331382068344695 pronoun
23 1.0137027348669712 2ndPPron
25 0.732434401635107 defArt
0 0 
16 -1.7907128464020374 exclamationmark
18 -2.6758017107018546 ipron
24 -5.587083003429118 3rdPPron
10 -5.96018578302406 i
30 -8.416950218636135 filler
5 -11.494470831550627 d
35 -13.29640253551966 discrep
12 -13.819333903570934 b
33 -14.693085224538178 tentat
21 -15.37915924970693 plurPPron
19 -17.328968439899825 ppron
26 -17.52526849704185 indefArt
8 -18.775034657471153 t
34 -20.420882256764518 differ
15 -20.686810769922033 questionmark
36 -21.94728889427249 certain
29 -23.974776230917204 conj
31 -25.466222705973475 nonflu
13 -25.5342021354361 period
22 -27.91420946579646 1stPPron
20 -29.95127167926103 singPPron
11 -32.34868709804715 x
14 -33.402826744053286 comma
