['1', '2']
2 25.7847838919654 s
4 15.920773903880153 a
7 11.70767313970071 f
30 11.144711889480238 filler
17 10.234133560077295 pronoun
11 6.754068593914113 x
15 5.040890434532114 questionmark
9 3.085024538525219 e
27 0.23685643346777135 function
19 0.03820454289601205 ppron
0 0 
12 -2.70476696595523e-12 b
22 -3.894311482970962 1stPPron
6 -4.31667868607024 r
13 -5.247832055672518 period
16 -5.490213539998907 exclamationmark
33 -5.596346153370201 tentat
14 -5.8142517880882485 comma
8 -7.452655000003354 t
29 -7.871771971887088 conj
31 -10.371399363246008 nonflu
1 -10.858357437902692 o
36 -11.63609117759442 certain
35 -12.061350773368712 discrep
28 -12.875987504794386 prep
21 -13.2904460007139 plurPPron
20 -16.31741819504603 singPPron
23 -18.233320287378543 2ndPPron
26 -25.430761932079587 indefArt
18 -26.198345693391026 ipron
25 -28.037884769984274 defArt
10 -30.139994760003358 i
34 -37.03690708551682 differ
3 -43.7253234608958 c
24 -46.18897341476605 3rdPPron
32 -48.145224908803016 swear
5 -124.27435788303636 d
