['2', '1', '3']
2 237.70342954998517 s
4 183.89329154482897 a
29 176.74490116244752 conj
19 166.48735641295752 ppron
22 140.6308295427145 1stPPron
7 104.64945389738122 f
17 99.95902299590445 pronoun
33 85.53298403625654 tentat
20 80.18397173575573 singPPron
28 58.52053462292059 prep
34 51.001184201180465 differ
21 46.36025483151917 plurPPron
8 25.465002530120998 t
15 10.971238548965218 questionmark
0 0 
9 -2.138753950066331 e
12 -5.052026331702116 b
3 -35.71324127583054 c
32 -44.26940051023837 swear
25 -49.784442127080155 defArt
27 -53.28934664102936 function
13 -55.311395840840305 period
6 -55.43158596915907 r
11 -80.50557432933762 x
5 -86.40664989374974 d
36 -86.92397601933541 certain
30 -94.1567877772634 filler
18 -107.88431705556877 ipron
23 -108.61287317332625 2ndPPron
10 -122.71713453386315 i
24 -144.79999715424253 3rdPPron
16 -164.03229742137805 exclamationmark
14 -184.30894423453333 comma
26 -209.35840404369407 indefArt
1 -210.9134764093222 o
35 -254.40076633467953 discrep
31 -300.479429621029 nonflu
