Speaker	Partner	Task	Indepdendent	C(utterances)	C(H)	(CH|H)	P(H)	P(H|h)
NWM068	NWF113	3I	False	139	30	4	0.2158273381294964	0.3333333333333333
NWF113	NWM068	3I	False	139	12	4	0.08633093525179857	0.13333333333333333
NWF112	NWF111	6B	False	85	17	6	0.2	0.2608695652173913
NWF111	NWF112	6B	False	84	23	7	0.27380952380952384	0.4117647058823529
NWM071	NWF116	3I	False	23	2	1	0.08695652173913043	0.2
NWF116	NWM071	3I	False	23	5	1	0.21739130434782608	0.5
NWM055	NWF093	3I	False	111	42	18	0.3783783783783784	0.5
NWF093	NWM055	3I	False	110	36	15	0.32727272727272727	0.35714285714285715
NWF093	NWM055	6B	False	116	37	22	0.31896551724137934	0.5
NWM055	NWF093	6B	False	115	44	22	0.3826086956521739	0.5945945945945946
NWM071	NWF116	6B	False	29	8	4	0.27586206896551724	0.2
NWF116	NWM071	6B	False	30	20	6	0.6666666666666666	0.75
NWF112	NWF111	3I	False	110	12	2	0.10909090909090909	0.10526315789473684
NWF111	NWF112	3I	False	111	19	4	0.17117117117117117	0.3333333333333333
NWM068	NWF113	6B	False	113	26	10	0.23008849557522124	0.4
NWF113	NWM068	6B	False	113	25	12	0.22123893805309736	0.46153846153846156
NWF102	NWF103	3I	True	54	6	1	0.1111111111111111	0.1111111111111111
NWF103	NWF102	3I	False	54	9	0	0.16666666666666666	0.0
NWF102	NWF103	6B	False	59	6	1	0.1016949152542373	0.05555555555555555
NWF103	NWF102	6B	False	58	18	3	0.3103448275862069	0.5
NWF096	NWM056	6B	False	20	5	3	0.25	0.2727272727272727
NWM056	NWF096	6B	False	21	11	3	0.5238095238095238	0.6
NWF089	NWM053	3I	False	88	25	10	0.2840909090909091	0.625
NWM053	NWF089	3I	False	87	16	5	0.1839080459770115	0.2
NWF108	NWF109	6B	False	7	6	4	0.8571428571428571	1.0
NWF109	NWF108	6B	False	7	4	3	0.5714285714285714	0.5
NWM054	NWF092	6B	False	91	24	12	0.26373626373626374	0.3076923076923077
NWF092	NWM054	6B	False	91	39	13	0.42857142857142855	0.5416666666666666
NWF117	NWF118	6B	False	100	44	16	0.44	0.5161290322580645
NWF118	NWF117	6B	False	100	31	18	0.31	0.4090909090909091
NWF094	NWF095	3I	False	90	40	13	0.4444444444444444	0.43333333333333335
NWF095	NWF094	3I	False	90	30	16	0.3333333333333333	0.4
NWF101	NWM059	6B	False	138	41	19	0.2971014492753623	0.40425531914893614
NWM059	NWF101	6B	False	138	47	16	0.34057971014492755	0.3902439024390244
NWF094	NWF095	6B	False	107	41	26	0.38317757009345793	0.45614035087719296
NWF095	NWF094	6B	False	106	57	20	0.5377358490566038	0.4878048780487805
NWM059	NWF101	3I	False	127	26	8	0.2047244094488189	0.21621621621621623
NWF101	NWM059	3I	False	128	37	12	0.2890625	0.46153846153846156
NWF108	NWF109	3I	False	14	8	1	0.5714285714285714	0.5
NWF109	NWF108	3I	False	14	2	2	0.14285714285714285	0.25
NWM054	NWF092	3I	False	80	10	1	0.125	0.05263157894736842
NWF092	NWM054	3I	False	81	19	7	0.2345679012345679	0.7
NWF096	NWM056	3I	False	117	19	8	0.1623931623931624	0.16666666666666666
NWM056	NWF096	3I	False	117	48	11	0.41025641025641024	0.5789473684210527
NWF089	NWM053	6B	False	77	32	11	0.4155844155844156	0.55
NWM053	NWF089	6B	False	77	20	8	0.2597402597402597	0.25
NWF128	NWF127	3I	False	144	5	0	0.034722222222222224	0.0
NWF127	NWF128	3I	False	144	5	0	0.034722222222222224	0.0
NWF126	NWM075	3I	False	117	11	1	0.09401709401709402	0.25
NWM075	NWF126	3I	False	117	4	0	0.03418803418803419	0.0
NWM029	NWM065	3I	False	133	61	8	0.45864661654135336	0.42105263157894735
NWM065	NWM029	3I	False	134	19	11	0.1417910447761194	0.18032786885245902
NWM029	NWM065	6B	False	70	38	9	0.5428571428571428	0.75
NWM065	NWM029	6B	False	71	12	8	0.16901408450704225	0.21052631578947367
NWF126	NWM075	6B	False	93	25	10	0.26881720430107525	0.3448275862068966
NWM075	NWF126	6B	False	94	29	9	0.30851063829787234	0.36
NWF128	NWF127	6B	False	73	16	5	0.2191780821917808	0.38461538461538464
NWF127	NWF128	6B	False	73	13	5	0.1780821917808219	0.3125
NWF099	NWF100	3I	False	85	6	3	0.07058823529411765	0.23076923076923078
NWF100	NWF099	3I	False	84	13	3	0.15476190476190477	0.5
NWM069	NWF114	3I	False	74	34	17	0.4594594594594595	0.6296296296296297
NWF114	NWM069	3I	False	74	27	16	0.36486486486486486	0.47058823529411764
NWF099	NWF100	6B	False	22	7	2	0.3181818181818182	0.5
NWF100	NWF099	6B	False	21	4	3	0.19047619047619047	0.42857142857142855
NWF130	NWF129	3I	False	102	4	1	0.0392156862745098	0.1
