Speaker	Partner	Task	Indepdendent	C(utterances)	C(H)	(CH|H)	P(H)	P(H|h)
Coburn	Blankfein		False	53	25	11	0.4716981132075472	0.55
Blankfein	Coburn		False	53	20	12	0.37735849056603776	0.48
McCain	Blankfein		False	29	4	1	0.13793103448275862	0.3333333333333333
Blankfein	McCain		False	29	3	0	0.10344827586206896	0.0
Blankfein	Levin		False	43	31	29	0.7209302325581395	0.725
Levin	Blankfein		False	43	40	30	0.9302325581395349	0.967741935483871
Kaufman	Blankfein		False	77	28	21	0.36363636363636365	0.4666666666666667
Blankfein	Kaufman		False	77	45	19	0.5844155844155844	0.6785714285714286
Pryor	Blankfein		True	25	0	0	0.0	0.0
Blankfein	Pryor		True	24	14	0	0.5833333333333334	0
McCaskill	Blankfein		False	31	24	16	0.7741935483870968	0.7272727272727273
Blankfein	McCaskill		False	31	22	18	0.7096774193548387	0.75
