indefArt	an a 

defArt	the 

questionmark	? 

comma	: , ; - 

exclamationmark	! 

period	.

ipron	another anybody anybody's anymore anyone anyone's anything deez everybody everybody's everyday everyone everyone's everything everything's it it'd it'll it's itd itll its itself nobody nobody's other others somebody somebody's someone, someone's something something's stuff that that'd that'll that's thatd thatll thats these thing things this those what what'd what'll what's whatd whatever whatll whats which whichever who who'd who'll who's whod whoever wholl whom whomever whos whose whosever

ppron	he he'd he'll he's her hers herself hes him himself his i i'd've i'll i'm i've idc idgaf idk idve im ima imma ive let's lets me methinks mine my myself oneself our ours ourselves she she'd she'll she's the thee thee their their theirs them themself themselves they they'd they'll they've theyve thine thine thou thou thoust thoust thy thy thyself thyself u ur us we we'd we'll we're we've weve y'all y'all's y'alls y're ya ya yall yall yalls ye ye you you'd you'd you'll you're you've you've youd youll your youre yours yours yourself yourselves youve youve

firstPPron	i i'd've i'll i'm i've idc idgaf idk idve im ima imma ive let's lets me methinks mine my myself our ours ourselves us we we'd we'll we're we've weve

secondPPron	thee their thine thou thoust thy thyself thyselves u ur y'all y'all's y'alls y're ya yall yalls ye you you'd you'll you're you've youd youll youre your yours yourself yourselves youve

thirdPPron	he he'd he'll he's her hers herself hes hed him himself his she she'd she'll she's shes their theirs them themself themselves they they'd they'll they've theyd theyll theyve hisself

singPPron	i i'd've i'll i'm i've idc idgaf idk idve im ima imma ive me methinks mine my myself thee thine thou thoust thy thyself u ur ya you yourself he he'd he'll he's her hers herself hes hed him himself his she she'd she'll she's shes oneself hisself

plurPPron	let's lets our ours ourself ourselves us we we'd we'll we're we've weve thyselves  y'all y'all's y'alls ya yall yalls yourselves their theirs them themself themselves they they'd they'll they've theyd theyll theyve oneselves

pronoun	another anybody anybody's anymore anyone anyone's anything deez everybody everybody's everyday everyone everyone's everything everything's he he'd he'll he's hed her hers herself hes him himself his hisself i i'd i'd've i'll i'm i've id idc idgaf idk idontknow idve ikr im ima imean imma it it'd it'll it's itd itll its itself ive let's lets me methinks mine my myself nobody nobody's oneself oneselves other others our ours ourself ourselves she she'd she'll she's shes somebody somebody's someone's someone, something something's somewhere stuff that that'd that'll that's thatd thatll thats the thee their theirs them themself themselves these they they'd they'll they've theyd theyll theyve thine thing things this those thou thoust thy thyself thyselves u ur us we we'd we'll we're we've weve what what'd what'll what's whatd whatever whatll whats which whichever who who'd who'll who's whod whoever wholl whom whomever whos whose whosever y'all y'all's y'alls y're ya yall yalls ye you you'd you'll you're you've youd youll your youre yours yourself yourselves youve

conj	til nor cuz then as altho and because though or also tho' whereas until tho when's when're but if coz whether cos when however how's bc howre whilst although how're while howd nevertheless plus how unless otherwise hows wherever whenever till so how'd wherefore 

function_word	are must'nt there's wasnt behind what hadnt what'll sans what's back thine everyone everyone's away along don't how's ima vastly we've no imean should've nearly although respectively ikr yalls essentially id such over how'd they'll definitely would 'd instead becoming just thus thusly as dont thee whichever hasn't jus she he's primarily thou aint barely shouldn't actually during she's am 'm simply originally must anywhere via isnt they're thats from supposedly nowhere respecting still heres who'll whether below hadn't werent onto had across does indeed nothing with amid howd it you're not virtually wasn't by they juz her often completely among amongst generally versus anyway anyways however we're she'll couldve ultimately must've weren't how hows they've wherever about mightve beyond basically couldnt why'd why's why'll i needn't and him noes notwithstanding uh-uh lets who's isn't continually into youre wholly howre ive theyd why plus might've other awhile that she'd doesnt cant oughtn't ours because never ever tho idgaf wouldnt may be could before minus haven't despite it's especially shortly yours will 'll whyever oughta really unto an cannot atop or did yet whereof whats there totally gunna finally imma itd theres whilst doesn't theyll i'm clearly those whence im wherefore should they'd til a has need'nt who'd y'all here's y'all's ya'll y'alls themself wherein subsequently to but hardly somewhat couldn't after he'd besides whatever regularly probably  whatll immediately on unless wouldn't where whod herein itself soon mine mustnt whereby hasnt shouldnt whom mostly idve somewhere whereas these hes eventually ur around been it'd ain't that's abt apparently whose whomever rarely relatively somehow maybe i've wouldve hereafter becomes do myself for let our he toward towards shes can hisself havent therefore prolly within beneath cos oneself thing things whosever bc specifically being arent up including was out thatll otherwise lately thoust so exclusively yourself in nobody nobody's you rather wholl very between theyre you've would near only against until when's when're himself whos perhaps we'd thy others what'd shan't uncommonly should'nt you'd namely everywhere everywhere's ought off fully till didn't regarding nor presently herself whatd tho' down doing negate negative its none coz thru something something's somethings everyday deez done outside anyone anyone's shall constantly have 've youd stuff particularly practically except absolutely inside wont become amidst altho hers since henceforth neither oughtve could've i'll truly thyself now mustve idk yall that'd frequently idc seriously which itll didnt ya nonetheless through oughtnt ought'nt the cuz excluding someone someone's briefly under usually here having underneath well won't at insides if shouldve them when upon aren't wanna whither without yourselves everything everything's everythings while shant ahead themselves we your can't might his my youll heretofore thereafter like fortunately weve where'd everybody everybody's everybodys unlike seldomly of were hence again idontknow i'd let's even theyve u ye their theirs you'll beside i'd've somebody somebody's ought've too nope unable whenever suddenly that'll whoever tryna another meanwhile almost extremely thatd then np neednt it'll ourselves anymore though also mustn't principally anything already me vs above methinks we'll is 's how're who youve commonly us nevertheless than anybody anybody's hopefully this typically 

prep	beyond inside regarding through til hereafter excluding behind as by amidst for like under unto via unlike sans between underneath since toward towards atop from respecting at of near against down insides to until around among amongst versus beneath within below away along into thru upon after abt outside onto vs above before across besides minus without up despite off beside including with amid ahead during on out plus than unless till over except about in

nonflu	ah huh - hmm sighed mh-hm sigh well umm* ugh sighing mm-mm uh ah ahh ahhh ah-ha aha hm mm sighs mm-hmm zz* ohh* er um trunc hm* mmmm hm-hm mmm* oh ew oo ooh oop oops

filler	whoa dunno mh-hm woops ehm oi anyway y'know y'knew anyways youknow mm-mm idontknow geeze whoops gee anyway anyways mm-hmm imean idk buh gah tsk agh blah hm-hm pfft woah yaknow mm-hm ohwell 

