Adjective	Valence	Extremity	Emotionality
Hateful	0.40	4.10	7.25
Worthless	0.44	4.06	5.53
Repulsive	0.46	4.04	7.02
Terrible	0.57	3.93	6.19
Dreadful	0.65	3.85	7.13
Gruesome	0.65	3.85	6.38
Awful	0.66	3.84	6.61
Horrible	0.68	3.96	7.06
Sickening	0.71	3.84	6.52
Terrifying	0.72	3.78	7.50
Disgusting	0.74	3.76	6.78
Useless	0.84	3.66	4.25
Appalling	0.91	3.60	6.84
Depressing	0.91	3.59	7.25
Disturbing	0.96	3.54	6.59
Undesirable	1.12	3.38	5.27
Negative	1.12	3.38	4.94
Dangerous	1.18	3.34	5.05
Harmful	1.21	3.50	4.45
Bad	1.22	3.29	4.88
Frightening	1.22	3.28	7.34
Stupid	1.24	3.26	4.45
Irritating	1.26	3.24	6.70
Angering	1.28	3.22	6.81
Offensive	1.29	3.21	6.63
Annoying	1.35	3.15	6.42
Con	1.43	3.16	3.28
Unsafe	1.43	3.07	3.92
Inferior	1.50	3.13	4.17
Saddening	1.53	2.97	6.78
Unhealthy	1.54	2.96	3.00
Upsetting	1.54	2.96	6.80
Dislikable	1.65	2.85	5.30
Troublesome	1.68	2.82	4.70
Inappropriate	1.71	2.81	4.28
Sorrowful	1.85	2.71	7.19
Ridiculous	1.91	2.60	5.11
Foolish	1.97	2.54	4.59
Boring	2.25	2.29	4.78
Objectionable	2.41	2.15	5.05
Imperfect	2.54	2.15	3.14
Questionable	2.74	1.81	3.56
Mediocre	3.29	1.46	3.78
Tolerable	4.31	1.25	3.95
Average	4.32	0.65	2.45
Neutral	4.65	0.63	2.50
Adequate	5.13	1.10	2.83
Okay	5.34	1.07	3.48
Satisfactory	5.94	1.60	3.52
Acceptable	6.06	1.69	3.38
Reasonable	6.15	1.79	3.41
Agreeable	6.53	2.07	4.39
Safe	6.84	2.59	4.00
Commendable	6.87	2.60	4.27
Nice	6.87	2.38	5.53
Calming	6.91	2.43	5.70
Wholesome	7.00	2.63	3.78
Good	7.09	2.60	4.69
Useful	7.13	2.66	3.14
Appealing	7.15	2.78	5.38
Likable	7.16	2.66	6.05
Worthwhile	7.16	2.68	4.50
Relaxing	7.25	2.75	5.16
Pleasant	7.26	2.76	5.88
Superior	7.29	3.10	4.36
Favorable	7.32	2.82	4.84
Helpful	7.37	2.87	4.17
Pro	7.41	3.00	2.78
Desirable	7.43	2.93	6.59
Enjoyable	7.47	2.97	6.77
Beneficial	7.51	3.03	3.55
Cheerful	7.53	3.03	6.98
Healthy	7.53	3.10	2.92
Attractive	7.66	3.16	5.52
Valuable	7.68	3.18	3.98
Delightful	7.75	3.32	7.27
Smart	7.76	3.34	2.89
Positive	7.76	3.26	4.98
Exciting	7.78	3.29	7.33
Joyful	7.84	3.34	7.61
Terrific	7.88	3.72	6.06
Wise	7.93	3.43	3.84
Very Good	7.96	3.47	4.83
Great	8.09	3.59	5.52
Lovable	8.15	3.65	7.19
Fabulous	8.16	3.66	6.59
Wonderful	8.41	3.91	6.98
Outstanding	8.44	4.07	5.92
Amazing	8.53	4.03	6.59
Perfect	8.53	4.16	4.72
Fantastic	8.57	4.07	6.64
Awesome	8.59	4.09	6.78
Excellent	8.63	4.13	5.17
Magnificent	8.71	4.21	6.80
