speaker	task	stance	o	s	c	a	d	r	f	t	e	i	x	b	period	comma	questionmark	exclamationmark	pronoun	ipron	ppron	singPPron	plurPPron	1stPPron	2ndPPron	3rdPPron	defArt	indefArt	function	prep	conj	filler	nonflu	swear	tentat	differ	discrep	certain	
NWF089	3I	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	4	1	3	2	1	1	2	0	0	0	15	3	4	0	0	0	1	1	1	0	
NWF089	3I	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	4	0	0	0	0	0	1	0	1	0	
NWF089	3I	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	
NWF089	3I	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	1	0	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	
NWF089	3I	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	0	0	0	0	0	2	0	7	3	1	0	0	0	2	2	0	0	
NWF089	3I	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NWF089	3I	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	1	0	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
NWF089	3I	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	1	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	
NWF089	3I	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	1	0	1	0	1	0	
NWF089	3I	1	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	1	0	1	1	0	1	0	0	0	0	4	1	0	0	0	0	1	0	1	0	
NWF089	3I	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
NWF089	3I	1	1	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	2	1	1	1	0	1	0	0	0	0	5	1	0	0	1	0	1	0	0	0	
NWF089	3I	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NWF089	3I	1	0	0	0	1	0	1	0	0	1	0	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	
NWF089	3I	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	
NWF089	3I	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NWF089	3I	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	1	0	1	1	0	0	0	1	5	2	0	0	0	0	2	0	0	0	
NWF089	3I	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	1	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	
NWF089	3I	1	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	0	1	0	1	0	0	0	
NWF089	3I	2	1	0	0	1	0	1	0	0	0	0	0	0	3	1	0	0	2	1	1	0	1	1	0	0	0	0	7	1	1	0	0	0	2	1	0	0	
NWF089	3I	1	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NWF089	3I	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	
NWF089	3I	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
NWF089	3I	2	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
NWF089	3I	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NWF089	3I	1	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	
NWF089	3I	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NWF089	3I	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NWF089	3I	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	
NWF089	3I	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NWF089	3I	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	3	1	0	0	0	0	1	0	1	0	
NWF089	3I	1	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	7	4	2	2	0	1	1	0	0	0	14	3	1	0	0	0	4	0	1	0	
NWF089	3I	1	0	0	0	1	0	0	1	0	0	0	0	0	4	1	0	0	1	0	1	1	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	
NWF089	3I	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	
