Text	Stances	Tasks	Count
eh .	0 1	6B	3
we do n't have any -	0 1	3I	2
right here .	0 1	3I	2
acting coaches .	2 0 1	6B	7
uh -	0 1	3I 6B	56
they 'll do it anyway .	2 1	6B	2
mmhm .	0 1	3I 6B	11
empty plastic jugs .	0 1	3I	11
oh , yeah .	0 1	3I 6B	8
cool .	0 1	3I 6B	14
i think we 're done .	0 1	6B	3
math tutors .	0 1	6B	3
maybe like -	2 1	3I	2
really ?	0 1	3I 6B	4
large vests .	2 0 1	3I	8
yeah ! yeah .	2 1	3I	2
let 's do it .	2 1	3I 6B	2
i think that 's good .	2 1	3I 6B	2
i guess .	0 1	3I 6B	4
trunc	0 1	3I 6B	6
mm-hm . mm-hm .	0 1	3I 6B	4
no ?	0 1	3I 6B	2
yeah . yeah . trunc yeah .	2 1	6B	2
i -	0 1	6B	2
alright . we 're done .	0 1	3I 6B	2
grab and go .	2 1	3I	3
down here .	0 1	3I	2
interesting .	0 1	3I 6B	2
okay . okay .	0 1	3I 6B	4
juice .	2 0	3I 6B	3
sugar free juice machines .	0 1	6B	5
junior soccer league .	0 1	6B	4
mm !	0 1	3I	2
mm-kay .	0 1	3I 6B	29
what do you think ?	0 1	3I 6B	11
huh .	2 0	3I 6B	28
i do n't know .	2 0 1	3I 6B	32
bagels .	0 1	3I 6B	15
done .	0 1	3I 6B	2
dried figs .	0 1	3I	8
either here or here .	2 1	3I	2
reproductive education .	0 1	6B	10
and weed control .	0 1	6B	4
that could go -	2 1	3I	2
yeah . hm .	0 1	6B	2
mm-mm .	2 0	3I 6B	6
mm-hm , mm-hm .	0 1	3I 6B	6
there .	2 0 1	3I	5
community news ads .	0 1	6B	2
thick sweaters , yeah .	0 1	3I	2
i know .	0 1	3I 6B	13
mm . yeah .	2 1	3I 6B	2
teaching certificates .	2 0	6B	2
yeah , yeah , yeah .	0 1	3I 6B	2
wow .	2 0 1	3I 6B	4
yeah , i agree .	2 1	3I 6B	6
sure . yeah .	0 1	3I 6B	3
oh ! okay .	2 1	3I 6B	2
bagels , yeah .	0 1	3I	2
two .	0 1	3I 6B	3
plastic jugs .	0 1	3I	2
public access station .	0 1	6B	2
