speaker	task	stance	indefArt	defArt	questionmark	comma	exclamationmark	period	ipron	ppron	firstPPron	secondPPron	thirdPPron	singPPron	plurPPron	pronoun	conj	function_word	prep	nonflu	filler	swear	tentat	differ	discrep	certain	auxverb	longWds	totWds
ATAROS_minus_Duplicates	3I	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ATAROS_minus_Duplicates	6B	2	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	1	1	21
ATAROS_minus_Duplicates	6B	2	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	1	11
ATAROS_minus_Duplicates	3I	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	7
ATAROS_minus_Duplicates	6B	1	0	0	0	1	0	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	13
ATAROS_minus_Duplicates	3I	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	4
ATAROS_minus_Duplicates	3I	2	0	0	1	0	0	1	1	1	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	13
ATAROS_minus_Duplicates	6B	2	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	37
ATAROS_minus_Duplicates	6B	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5
ATAROS_minus_Duplicates	6B	2	0	1	0	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	30
ATAROS_minus_Duplicates	3I	1	0	0	0	1	0	1	0	1	1	0	0	1	0	1	1	1	0	1	0	0	0	1	1	1	1	0	9
ATAROS_minus_Duplicates	3I	1	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	1	0	1	0	0	0	1	0	1	1	0	10
ATAROS_minus_Duplicates	3I	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	9
ATAROS_minus_Duplicates	6B	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	1	0	7
ATAROS_minus_Duplicates	3I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	3
ATAROS_minus_Duplicates	3I	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	6
ATAROS_minus_Duplicates	6B	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	1	1	18
ATAROS_minus_Duplicates	6B	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	6
ATAROS_minus_Duplicates	6B	1	0	0	0	1	0	0	1	1	1	0	0	1	0	1	0	1	1	1	0	0	0	1	1	0	1	1	13
ATAROS_minus_Duplicates	3I	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	9
ATAROS_minus_Duplicates	3I	0	0	0	1	1	0	1	0	1	1	0	0	0	1	1	0	1	0	1	0	0	1	1	0	0	1	0	9
ATAROS_minus_Duplicates	6B	1	0	0	0	0	0	1	1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	0	7
ATAROS_minus_Duplicates	6B	1	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	1	0	7
ATAROS_minus_Duplicates	3I	1	0	0	0	1	0	1	1	1	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	1	1	1	16
ATAROS_minus_Duplicates	3I	0	0	0	1	0	0	1	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	10
ATAROS_minus_Duplicates	3I	1	1	0	0	0	0	1	0	1	1	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	1	1	16
ATAROS_minus_Duplicates	6B	2	1	0	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	32
ATAROS_minus_Duplicates	3I	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	6
ATAROS_minus_Duplicates	6B	2	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	11
ATAROS_minus_Duplicates	6B	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	4
ATAROS_minus_Duplicates	6B	1	0	0	0	0	0	1	1	1	1	0	0	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	12
