speaker	task	stance	indefArt	defArt	questionmark	comma	exclamationmark	period	ipron	ppron	firstPPron	secondPPron	thirdPPron	singPPron	plurPPron	pronoun	conj	function_word	prep	nonflu	filler	swear	tentat	differ	discrep	certain	auxverb
NWF089	3I	1	0	0	0	3	0	1	1	3	1	2	0	2	1	4	4	16	3	1	0	0	1	3	2	1	7
NWF089	3I	1	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	4	0	0	0	0	1	0	1	0	3
NWF089	3I	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
NWF089	3I	1	0	0	0	2	0	0	1	1	1	0	0	1	0	2	1	5	0	1	0	0	0	1	0	1	4
NWF089	3I	1	0	2	0	1	0	0	1	2	0	0	0	0	0	3	1	7	3	2	0	0	2	2	0	0	0
NWF089	3I	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	0	0	0	0	1	0	2	0	1	1	0	0	1	0	1	0	2	0	0	0	0	0	1	0	0	2
NWF089	3I	1	0	0	0	2	0	0	1	1	1	0	0	1	0	2	0	2	0	2	0	0	0	0	0	0	2
NWF089	3I	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	4	1	2	0	0	1	0	1	0	1
NWF089	3I	1	0	0	0	1	0	2	0	1	1	0	0	1	0	1	0	4	1	0	0	0	1	0	1	0	2
NWF089	3I	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NWF089	3I	1	0	0	0	0	0	3	1	1	1	0	0	1	0	2	0	5	1	1	0	0	1	0	0	0	2
NWF089	3I	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	1	0	0	0	1	0	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1
NWF089	3I	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0
NWF089	3I	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	1	1	0	0	2	0	1	0	1	1	0	0	0	1	1	0	5	2	0	0	0	2	1	0	0	2
NWF089	3I	1	0	0	0	0	0	2	1	1	1	0	0	1	0	2	0	5	0	0	0	0	0	0	1	0	4
NWF089	3I	1	0	0	0	3	0	2	0	0	0	0	0	0	0	0	2	4	2	2	0	0	1	0	0	0	0
NWF089	3I	2	0	0	0	2	0	1	1	1	1	0	0	0	1	2	1	7	1	1	0	0	2	2	0	0	4
NWF089	3I	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
NWF089	3I	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NWF089	3I	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NWF089	3I	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	2	0	0	0	0
NWF089	3I	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	2	2
NWF089	3I	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	1	0	0	0	1	0	1	0	1	1	0	0	1	0	1	0	3	1	1	0	0	1	0	1	0	2
NWF089	3I	1	0	0	0	3	0	1	4	2	1	1	0	2	0	7	1	15	3	3	0	0	4	0	1	1	7
NWF089	3I	1	0	0	0	1	0	2	0	1	1	0	0	1	0	1	1	4	0	0	0	0	0	1	1	1	3
NWF089	3I	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	4	0	0	0	0	1	1	0	1	2
NWF089	3I	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	1	2
NWF089	3I	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NWF089	3I	2	0	0	0	0	1	2	1	1	1	0	0	0	1	2	0	4	0	0	0	0	0	0	0	1	4
NWF089	3I	1	0	0	0	1	0	2	1	0	0	0	0	0	0	1	1	4	1	2	0	0	0	0	1	0	2
NWF089	3I	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
NWF089	3I	1	0	1	0	1	0	0	1	1	0	0	0	0	0	2	0	3	1	1	0	0	0	0	0	0	1
NWF089	3I	2	0	0	0	2	0	3	0	2	2	0	0	1	1	2	0	6	0	2	0	0	0	2	1	1	5
NWF089	3I	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	1	0	1	0	2	0	1	1	2	1	0	0	0	1	3	1	10	4	0	0	0	2	1	1	0	3
NWF089	3I	2	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	4	1	0	0	0	0	0	1	1	1
NWF089	3I	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NWF089	3I	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
