speaker	stance	indefArt	defArt	questionmark	comma	exclamationmark	period	ipron	ppron	firstPPron	secondPPron	thirdPPron	singPPron	plurPPron	pronoun	conj	function_word	prep	nonflu	filler	swear	tentat	differ	discrep	certain	auxverb	longWds	totWds
Blankfein	0	1	0	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	24
Blankfein	0	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	11
Blankfein	0	1	0	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	77
Blankfein	0	1	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	55
Blankfein	0	1	0	0	0	0	1	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	76
Blankfein	1	1	0	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	68
Blankfein	1	1	0	0	0	0	1	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	110
Blankfein	0	1	0	0	1	0	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	125
Blankfein	0	1	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	38
Blankfein	0	1	0	0	0	0	1	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	30
Blankfein	0	1	0	0	0	0	1	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	69
Blankfein	0	1	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	67
Blankfein	0	1	0	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	91
Blankfein	0	1	0	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	107
