speaker	stance	indefArt	defArt	questionmark	comma	exclamationmark	period	ipron	ppron	firstPPron	secondPPron	thirdPPron	singPPron	plurPPron	pronoun	conj	function_word	prep	nonflu	filler	swear	tentat	differ	discrep	certain	auxverb
Coburn	2	1	0	0	3	0	2	0	2	1	1	0	2	0	2	0	9	3	1	0	0	0	1	0	0	4
Coburn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Coburn	1	0	2	0	0	0	0	0	4	2	0	0	1	1	4	0	7	3	0	0	0	1	0	1	0	1
Coburn	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0
Coburn	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	3	2	0	0	0	1	0	0	0	0
Coburn	1	1	1	0	2	0	0	1	5	3	1	0	3	1	6	2	16	2	2	0	0	0	2	2	2	8
Coburn	1	0	1	0	0	0	2	1	2	1	0	0	0	1	3	2	12	4	0	0	0	0	3	2	2	5
Coburn	0	1	0	0	2	0	1	1	2	1	1	0	2	0	3	0	7	1	1	0	0	1	1	0	0	5
Coburn	0	0	1	1	1	0	0	3	5	0	4	0	1	0	8	1	17	3	0	0	0	0	3	0	1	8
Coburn	2	0	0	1	1	0	0	1	2	0	0	2	0	2	3	0	8	1	0	0	0	2	3	1	3	4
Coburn	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coburn	0	0	1	1	4	0	0	1	3	1	1	0	1	1	4	1	13	5	2	0	0	4	4	0	0	5
Coburn	2	0	0	0	0	0	0	1	1	0	1	0	1	0	2	1	5	0	0	0	0	1	1	1	1	3
Coburn	2	0	0	0	0	0	0	1	1	0	1	0	1	0	2	0	3	0	0	0	0	0	1	0	0	3
Coburn	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	1	0	0	0
Coburn	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	1	1	0	0	0
Coburn	0	0	0	0	0	0	2	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1
Coburn	1	0	1	0	3	0	0	0	2	0	1	0	1	0	2	0	4	2	1	0	0	0	0	0	0	1
Coburn	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coburn	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1
Coburn	0	0	1	0	1	0	0	0	2	1	0	0	0	1	2	1	7	3	0	0	0	0	0	0	0	1
Coburn	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2	2	9	3	0	0	0	0	1	0	1	2
Coburn	0	1	0	0	2	0	0	1	1	1	0	0	0	1	2	1	8	2	0	0	0	0	0	0	0	4
Coburn	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
Coburn	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	1	0	0	0	1	0	0	0	0
Coburn	0	1	1	1	1	0	0	1	2	0	1	0	1	0	3	1	11	4	3	0	0	2	3	0	0	3
Coburn	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coburn	0	1	0	1	0	0	0	3	0	0	0	0	0	0	3	0	7	1	0	0	0	1	2	0	0	3
Coburn	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	5	1	0	0	0	1	1	0	2	3
Coburn	1	0	0	1	0	0	0	1	3	1	2	0	1	1	4	0	7	1	0	0	0	0	1	1	0	4
Coburn	1	0	0	0	1	0	1	0	1	0	1	0	1	0	1	1	3	0	0	0	0	1	1	2	0	2
Coburn	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Coburn	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coburn	0	1	0	1	1	0	0	0	1	0	1	0	1	0	1	1	7	0	1	0	0	0	1	2	0	3
Coburn	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	1
Coburn	0	0	2	0	1	0	1	0	2	0	0	0	0	0	2	0	3	1	1	0	0	0	0	0	0	0
Coburn	1	1	0	0	4	0	1	0	5	2	3	0	4	0	5	2	12	4	2	0	0	1	0	0	0	4
Coburn	0	0	2	1	2	0	0	0	3	0	1	0	1	0	3	0	11	5	0	0	0	0	1	1	1	4
Coburn	0	0	0	1	3	0	0	3	1	0	1	0	1	0	4	0	7	1	3	0	0	0	0	1	0	5
Coburn	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coburn	0	1	0	0	3	0	1	0	3	3	0	0	1	2	3	0	5	1	1	0	0	1	0	0	0	2
Coburn	0	0	1	1	0	0	0	2	1	0	0	0	0	0	3	0	7	2	0	0	0	1	1	0	2	4
Coburn	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Coburn	2	0	0	0	6	0	0	4	3	3	0	0	2	1	7	0	17	1	6	0	0	1	0	4	0	14
Coburn	2	0	0	0	1	0	1	0	1	0	1	0	1	0	1	2	6	0	2	0	0	1	5	1	1	4
Coburn	0	1	1	1	0	0	0	0	2	0	1	0	1	0	2	0	6	1	0	0	0	0	1	0	0	3
Coburn	2	0	0	0	1	0	2	2	1	1	0	0	1	0	3	0	5	0	1	0	0	0	0	0	2	5
Coburn	1	1	1	0	1	0	1	1	5	3	1	0	2	2	6	0	10	1	3	0	0	1	0	0	1	6
Coburn	1	0	1	0	0	0	2	1	4	0	3	0	2	0	5	1	8	1	1	0	0	2	0	0	0	3
Coburn	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Coburn	1	0	0	0	0	0	1	1	2	0	2	0	1	0	3	0	7	2	0	0	0	1	0	1	1	4
Coburn	0	0	0	1	0	0	0	2	1	0	1	0	1	0	3	0	6	1	0	0	0	0	0	0	0	3
Coburn	0	0	2	1	1	0	0	4	4	1	1	0	1	1	8	0	11	1	1	0	0	0	1	2	1	8
Coburn	2	0	1	0	0	0	1	0	2	1	0	0	1	0	2	1	5	0	1	0	0	0	1	1	1	3
Coburn	2	0	0	0	0	0	2	0	2	2	0	0	1	1	2	0	9	1	0	0	0	0	2	2	2	7
Coburn	0	0	1	1	3	0	0	1	3	0	1	1	1	1	4	1	11	3	3	0	0	1	1	1	1	6
Coburn	0	0	0	1	0	0	0	1	1	0	0	1	0	1	2	0	3	1	0	0	0	1	0	0	1	2
Coburn	0	0	1	1	0	0	1	1	3	1	1	0	1	1	4	0	10	1	0	0	0	0	0	1	2	7
Coburn	0	0	2	1	0	0	0	1	3	0	1	0	1	0	4	0	8	2	0	0	0	0	1	0	1	3
Coburn	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coburn	1	0	1	0	0	0	0	2	2	0	1	0	1	0	4	0	9	1	0	0	0	1	2	1	2	6
Coburn	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Coburn	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0
Coburn	2	1	0	0	1	0	0	1	2	1	1	0	2	0	3	0	8	1	0	0	0	0	1	1	0	6
Coburn	2	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	6	3	2	0	0	1	1	0	2	1
Coburn	0	0	1	0	0	0	1	1	2	1	0	0	0	1	3	1	8	3	1	0	0	1	1	0	0	3
Coburn	2	2	0	0	2	0	0	0	2	0	2	0	2	0	2	2	9	2	1	0	0	0	2	1	2	3
Coburn	2	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0	4	1	0	0	0	0	0	1	0	3
Coburn	2	1	1	1	1	0	0	1	1	0	0	0	0	0	2	2	10	4	0	0	0	2	0	1	2	2
Coburn	0	0	1	1	1	0	0	1	2	0	1	0	1	0	3	0	7	3	1	0	0	1	1	0	0	2
Coburn	0	0	0	1	2	0	0	1	3	2	1	0	2	1	4	0	6	0	2	0	0	0	1	0	0	5
Coburn	1	0	1	0	1	0	1	0	5	4	0	0	2	2	5	0	5	0	2	0	0	1	0	0	0	2
Coburn	0	0	2	1	0	0	0	0	3	0	1	0	1	0	3	0	10	5	0	0	0	0	1	0	0	3
Coburn	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Coburn	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	2
Coburn	0	0	0	1	1	0	0	1	2	0	2	0	2	0	3	0	5	1	1	0	0	0	0	0	0	4
Coburn	1	1	0	0	3	0	2	0	7	5	2	0	3	2	7	2	14	2	3	0	0	0	1	1	0	4
Coburn	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coburn	0	0	1	0	1	0	0	2	1	0	0	0	0	0	3	1	6	0	0	0	0	0	1	0	1	4
Coburn	1	0	1	0	0	0	1	1	2	1	0	0	0	1	3	0	5	2	0	0	0	0	0	0	1	1
Coburn	1	1	2	0	1	0	0	1	4	1	1	0	1	1	5	1	12	2	0	0	0	1	3	0	1	6
Coburn	2	0	2	0	4	0	0	3	3	1	0	0	1	0	6	4	19	1	1	0	0	0	6	2	5	10
Coburn	2	0	3	0	6	0	1	1	5	0	2	0	2	0	6	3	17	4	0	0	0	1	2	1	3	7
Coburn	0	0	1	0	3	0	0	2	2	0	1	0	0	0	4	1	8	2	0	0	0	1	2	0	1	2
Coburn	2	1	0	0	2	0	0	1	0	0	0	0	0	0	1	0	5	1	0	0	0	0	3	0	1	2
Coburn	0	0	0	0	2	0	0	2	0	0	0	0	0	0	2	0	5	1	1	0	0	0	0	1	1	3
Coburn	1	0	0	1	1	0	0	2	3	3	0	0	0	3	5	3	12	4	0	0	0	3	0	0	0	4
Coburn	0	0	0	1	2	0	0	1	4	3	1	0	0	3	5	0	8	2	3	0	0	0	0	1	0	4
Coburn	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coburn	1	1	0	0	3	0	0	2	1	1	0	0	0	1	3	1	11	2	2	0	0	1	0	1	2	5
Coburn	1	0	0	0	3	0	0	3	2	2	0	0	0	2	5	0	12	2	3	0	0	2	0	2	2	10
Coburn	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	2	0	0	0	0	0	0	1	1	2
Coburn	2	0	2	1	1	0	0	3	4	0	2	0	2	0	7	2	18	4	0	0	0	1	2	2	0	8
Coburn	2	0	1	0	0	0	1	1	1	0	0	0	0	0	2	0	6	1	0	0	0	0	1	0	2	2
Coburn	2	0	1	0	0	0	2	5	3	1	0	1	0	2	8	1	18	4	0	0	0	0	3	0	3	10
Coburn	2	0	0	0	0	0	0	0	2	1	0	1	0	2	2	0	4	1	0	0	0	0	0	0	1	2
Coburn	2	0	2	0	1	0	4	4	6	1	0	3	0	4	10	2	25	6	0	0	0	1	2	0	2	13
Coburn	2	0	1	0	1	0	1	1	4	0	1	3	0	3	5	3	13	1	0	0	0	0	3	1	2	5
Coburn	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Coburn	2	0	0	0	0	0	1	2	1	0	0	1	0	1	3	1	7	1	0	0	0	0	2	0	1	2
Coburn	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Coburn	2	1	1	0	0	0	1	3	3	0	0	2	0	2	6	6	21	4	1	0	0	1	0	0	1	8
Coburn	2	0	2	0	1	0	1	2	3	0	0	1	0	1	5	1	13	2	1	0	0	0	3	0	3	8
Coburn	2	0	1	0	1	0	0	2	2	0	0	1	0	1	4	2	12	5	0	0	0	1	1	0	0	3
Coburn	2	2	0	1	0	0	1	3	2	1	1	0	1	1	5	1	13	1	0	0	0	0	1	0	3	8
Coburn	3	2	4	0	5	0	0	1	5	1	0	0	0	1	6	1	23	4	2	0	0	3	3	1	7	9
Coburn	3	0	0	0	2	0	0	1	2	1	0	1	0	2	3	2	13	3	1	0	0	0	1	0	1	6
Coburn	3	1	2	0	2	0	1	2	7	0	3	2	3	2	9	4	27	4	1	0	0	3	2	3	2	15
Coburn	3	0	0	1	0	0	0	1	1	0	1	0	1	0	2	0	2	0	0	0	0	0	0	0	1	2
Coburn	3	0	0	0	1	0	1	3	3	3	0	0	1	2	6	1	14	2	0	0	0	1	2	2	4	8
Coburn	2	0	1	1	0	0	0	0	2	0	1	0	1	0	2	1	4	0	0	0	0	0	1	0	1	1
Coburn	2	0	1	0	3	0	0	2	4	0	3	0	3	0	6	0	12	3	3	0	0	2	1	2	0	6
Coburn	2	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	5	2	0	0	0	3	0	0	1	1
Coburn	2	0	0	0	1	0	1	1	1	0	1	0	1	0	2	1	6	1	0	0	0	1	1	0	0	2
Coburn	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coburn	2	1	2	0	3	0	2	3	4	2	0	0	2	0	7	1	14	2	3	0	0	1	0	2	1	8
Coburn	2	0	0	1	1	0	0	2	2	0	1	1	1	1	4	1	8	2	1	0	0	0	0	0	0	3
Coburn	2	0	0	0	2	0	0	1	0	0	0	0	0	0	1	1	10	4	2	0	0	0	0	0	0	0
Coburn	2	0	0	1	0	0	0	0	1	1	0	0	0	1	1	1	5	0	0	0	0	0	2	1	1	4
Coburn	2	0	1	0	2	0	0	0	3	0	2	0	2	0	3	1	10	0	1	0	0	0	2	2	2	8
Coburn	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coburn	2	0	1	1	3	0	3	1	4	2	1	0	3	0	5	2	14	2	2	0	0	3	2	0	2	8
Coburn	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Coburn	2	0	1	1	0	0	0	0	2	0	1	0	1	0	2	1	3	0	1	0	0	0	0	0	0	1
Coburn	1	1	1	0	0	0	1	0	2	1	0	0	1	0	2	1	7	2	1	0	0	3	0	1	1	2
Coburn	1	1	0	0	1	0	1	0	3	2	1	0	3	0	3	0	6	1	1	0	0	1	1	0	0	4
Coburn	2	0	1	1	1	0	0	1	1	0	0	0	0	0	2	1	8	2	1	0	0	1	3	0	1	2
Coburn	2	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0
Coburn	2	0	0	0	0	0	2	2	1	1	0	0	0	1	3	1	9	1	1	0	0	2	2	1	1	6
Coburn	2	0	0	0	1	0	2	2	2	2	0	0	0	2	4	0	8	1	2	0	0	1	2	1	2	7
Coburn	2	1	0	2	3	0	0	2	1	0	1	0	0	0	3	1	9	1	1	0	0	0	3	0	2	5
Coburn	2	2	0	1	4	0	0	1	0	0	0	0	0	0	1	3	10	0	3	0	0	2	4	0	1	3
Coburn	2	0	0	1	1	0	0	1	2	0	2	0	1	0	3	0	9	2	1	0	0	1	0	1	0	4
Coburn	2	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0	6	1	1	0	0	2	0	0	1	2
Coburn	2	1	0	0	1	0	0	2	4	0	0	4	4	0	6	1	11	2	3	0	0	2	1	1	0	2
Coburn	2	0	0	0	3	0	1	0	3	3	0	0	3	0	3	0	4	1	3	0	0	0	0	0	0	2
Coburn	2	0	1	0	1	0	1	0	3	2	0	0	2	0	3	0	5	1	1	0	0	1	0	0	0	2
Coburn	2	0	1	0	2	0	0	1	3	2	0	0	2	0	4	1	9	2	1	0	0	1	1	2	0	5
Coburn	2	0	0	0	1	0	0	3	0	0	0	0	0	0	3	0	3	0	2	0	0	1	0	0	0	2
Coburn	2	2	0	0	1	0	1	0	1	0	0	1	1	0	1	0	7	0	1	0	0	0	1	1	1	5
Coburn	2	0	1	0	1	1	1	2	3	0	1	2	1	1	5	1	11	2	1	0	0	0	1	0	2	5
Coburn	3	4	0	0	5	0	0	0	2	0	2	0	2	0	2	0	7	0	3	0	0	0	1	0	2	2
Coburn	3	0	0	0	0	0	0	1	1	0	1	0	0	0	2	0	3	1	0	0	0	1	0	0	0	1
Coburn	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	1	0	1	2
Coburn	3	0	0	0	0	0	1	1	1	1	0	0	0	1	2	1	5	0	0	0	0	0	2	1	1	3
Coburn	2	0	0	0	0	0	1	1	2	1	1	0	2	0	3	1	8	1	1	0	0	1	2	1	1	5
Coburn	0	0	0	0	3	0	4	0	6	3	3	0	5	0	6	0	9	2	1	0	0	0	0	1	1	6
Kaufman	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kaufman	1	2	0	0	3	0	1	1	3	1	2	0	2	0	4	2	12	2	0	0	0	0	1	0	0	5
Kaufman	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0
Kaufman	1	0	0	0	5	0	0	0	2	0	1	1	1	1	2	1	3	0	0	0	0	0	0	1	0	2
Kaufman	1	0	0	0	2	0	0	0	1	0	0	1	0	1	1	0	2	0	0	0	0	0	0	1	0	1
Kaufman	1	1	0	0	5	0	0	1	1	0	0	1	0	1	2	2	6	1	1	0	0	2	3	1	0	1
Kaufman	1	0	1	0	3	0	2	2	3	0	1	2	0	2	5	2	11	2	2	0	0	2	2	1	2	5
Kaufman	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kaufman	1	0	2	1	1	0	0	5	2	0	0	0	0	0	7	3	21	8	0	0	0	2	3	1	1	4
Kaufman	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kaufman	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kaufman	1	0	1	1	0	0	0	1	1	0	0	0	0	0	2	3	9	3	1	0	0	1	1	0	1	2
Kaufman	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Kaufman	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kaufman	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kaufman	2	0	2	0	2	0	2	2	3	1	0	0	1	0	5	2	15	3	0	0	0	3	3	0	1	5
Kaufman	2	0	1	0	3	0	1	3	2	1	0	0	1	0	5	3	14	2	2	0	0	3	3	1	1	7
Kaufman	2	1	1	0	4	0	1	2	5	0	4	0	3	0	7	3	15	2	0	0	0	0	2	0	2	5
Kaufman	2	1	0	0	2	0	0	1	3	3	0	0	3	0	4	1	14	1	3	0	0	0	4	0	0	10
Kaufman	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kaufman	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Kaufman	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kaufman	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kaufman	2	1	1	0	4	0	1	3	8	6	1	0	6	1	11	0	23	4	4	0	0	1	2	0	0	14
Kaufman	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kaufman	1	0	1	1	1	0	0	0	3	0	2	0	1	0	3	2	10	2	0	0	0	1	0	0	1	3
Kaufman	1	1	0	1	0	0	0	1	2	1	1	0	2	0	3	1	12	2	1	0	0	1	1	0	2	7
Kaufman	2	0	1	0	1	0	0	3	3	2	0	0	1	1	6	2	14	4	0	0	0	3	1	0	1	3
Kaufman	2	1	0	0	2	0	2	4	5	2	2	1	4	1	9	1	22	3	1	0	0	2	2	0	3	15
Kaufman	1	0	0	0	1	0	0	2	1	1	0	0	1	0	3	1	7	1	1	0	0	1	1	0	1	3
Kaufman	1	0	1	1	0	0	0	0	2	0	1	0	0	0	2	0	4	2	0	0	0	1	0	0	0	0
Kaufman	1	1	0	1	0	0	1	2	2	2	0	0	1	1	4	1	7	1	0	0	0	2	1	0	0	3
Kaufman	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kaufman	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
