indefArt	a an

defArt	the

questionmark	?

comma	, - : ;

exclamationmark	!

period	.

ipron	another anybody anymore anyone anything deez everybody everyday everyone everything it itd itll its itself nobody other others somebody someone something stuff that thatd thatll thats these thing things this those what whatd whatever whatll whats which whichever who whod whoever wholl whom whomever whos whose whosever

ppron	he her hers herself hes him himself his i idc idgaf idk idve im ima imma ive let lets me methinks mine my myself oneself our ours ourselves she the thee their theirs them themself themselves they theyve thine thou thoust thy thyself u ur us we weve y'all y'alls ya yall yalls ye you youd youll your youre yours yourself yourselves youve

firstPPron	i idc idgaf idk idve im ima imma ive let lets me methinks mine my myself our ours ourselves us we weve

secondPPron	thee their thine thou thoust thy thyself thyselves u ur y y'all y'alls ya yall yalls ye you youd youll your youre yours yourself yourselves youve

thirdPPron	he hed her hers herself hes him himself his hisself she shes their theirs them themself themselves they theyd theyll theyve

singPPron	he hed her hers herself hes him himself his hisself i i'd idc idgaf idk idve im ima imma ive me methinks mine my myself oneself she shes thee thine thou thoust thy thyself u ur ya you yourself

plurPPron	let lets oneselves our ours ourself ourselves their theirs them themself themselves they theyd theyll theyve thyselves us we weve y'all y'alls ya yall yalls yourselves

pronoun	another anybody anymore anyone anything deez everybody everyday everyone everything he hed her hers herself hes him himself his hisself i i'd id idc idgaf idk idontknow idve ikr im ima imean imma it itd itll its itself ive let lets me methinks mine my myself nobody oneself oneselves other others our ours ourself ourselves she shes somebody someone something somewhere stuff that thatd thatll thats the thee their theirs them themself themselves these they theyd theyll theyve thine thing things this those thou thoust thy thyself thyselves u ur us we weve what whatd whatever whatll whats which whichever who whod whoever wholl whom whomever whos whose whosever y y'all y'alls ya yall yalls ye you youd youll your youre yours yourself yourselves youve

conj	also altho although and as bc because but cos coz cuz how howd however howre hows if nevertheless nor or otherwise plus so then tho though til till unless until when whenever whereas wherefore wherever whether while whilst

function_word	'd 'll 'm 're 's 've a about above absolutely abt across actually after again against ahead ai aint almost along already also altho although am amid amidst among amongst an and another anybody anymore anyone anything anyway anyways anywhere apparently are arent around as at atop away awhile back barely basically bc be because become becomes becoming been before behind being below beneath beside besides between beyond briefly but by ca can cant clearly commonly completely constantly continually cos could couldnt couldve coz cuz deez definitely despite did didnt do does doesnt doing done dont down during especially essentially even eventually ever everybody everybodys everyday everyone everything everythings everywhere except excluding exclusively extremely finally for fortunately frequently from fully generally gunna had hadnt hardly has hasnt have havent having he hence henceforth her here hereafter herein heres heretofore hers herself hes him himself his hisself hopefully how howd however howre hows i i'd id idc idgaf idk idontknow idve if ikr im ima imean imma immediately in including indeed inside insides instead into is isnt it itd itll its itself ive jus just juz lately let lets like may maybe me meanwhile methinks might mightve mine minus mostly must must'nt mustnt mustve my myself n't na namely near nearly need need'nt neednt negate negative neither never nevertheless no nobody noes none nonetheless nope nor not nothing notwithstanding now nowhere np of off often on oneself only onto or originally other others otherwise ought ought'nt oughta oughtnt oughtve our ours ourselves out outside over particularly perhaps plus practically presently primarily principally probably prolly rarely rather really regarding regularly relatively respecting respectively sans seldomly seriously sha shall shant she shes shortly should should'nt shouldnt shouldve simply since so somebody somehow someone something somethings somewhat somewhere soon specifically still stuff subsequently such suddenly supposedly than that thatd thatll thats the thee their theirs them themself themselves then there thereafter therefore theres these they theyd theyll theyre theyve thine thing things this tho those thou though thoust through thru thus thusly thy thyself til till to too totally toward towards truly tryna typically u uh-uh ultimately unable uncommonly under underneath unless unlike until unto up upon ur us usually vastly versus very via virtually vs wan was wasnt we well were werent weve what whatd whatever whatll whats when whence whenever where whereas whereby wherefore wherein whereof wherever whether which whichever while whilst whither who whod whoever wholl wholly whom whomever whos whose whosever why whyever will with within without wo wont would wouldnt wouldve y'all y'alls ya yall yalls ye yet you youd youll your youre yours yourself yourselves youve

prep	about above abt across after against ahead along amid amidst among amongst around as at atop away before behind below beneath beside besides between beyond by despite down during except excluding for from hereafter in including inside insides into like minus near of off on onto out outside over plus regarding respecting sans since than through thru til till to toward towards under underneath unless unlike until unto up upon versus via vs with within without

nonflu	- ah ah-ha aha ahh ahhh er ew hm hm-hm hmm huh mh-hm mm mm-hmm mm-mm mmm* mmmm oh ohh* oo ooh oop oops sigh sighed sighing sighs trunc ugh uh um well zz

filler	agh anyway anyways blah buh dunno ehm gah gee geeze hm-hm idk idontknow imean mh-hm mm-hm mm-hmm mm-mm ohwell oi pfft tsk whoa whoops woah woops y'knew y'know yaknow youknow

swear	af arse arsehole arseholes arses asf ass asses asshole assholes asswipe badass badassed badasses bamf bastard bastards biatch biatches biotch biotched bitch bitched bitches bitching bloody bollock bollocks boob boobs bs bullshit bumfuck butt buttfuck buttfucks butts cock cocks cocksucker cocksuckers crap crappy cunt cunts dammit damn dang darn dick dickhead dickheads dickhole dickholes dickish dickishly dicks dickwad dilf dilfs dipshit dipshits doofus dork dorks douche douchebag douchebags dtf dufus dumb dumbass dumbassed dumbasses dumber dumbest dumbfuck dumbfucks dummy effin effing fag faggot faggy fatties fml foggots freak freaking freaks friggin frigging fu fuck fuckboy fuckboys fucked fucker fuckers fuckface fuckfaced fuckhead fuckin fucking fucks fucktard fucktwa fucktwats fuckwad fuckwads geek geeks goddam goddammit goddamn half-ass half-assed halfass halfassed halfassing heck hell hella hoe hoebag hoes homo homos horseshit horseshits idgaf idiot idiots ignoramus jackass jeez lmao lmfao mf mfs milf milfs mofo mofos moron morons motherfucker motherfuckers motherfuckin motherfucking nigga niggas nigger niggers omfg piss pissant pissed pisses pissing prick pricks pussies pussy pussys retard retards screaing screw screws shit shite shits shitting shitty skank skanks slut sluts sonofabitch sonofabitches stfu suck sucked sucks tit tits titties titty twat twats wank wanker wanking wanks whore whores whoring wtf wuss wussy

